"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1018.0","...","1031.9","2016-01-24 19:51","1006.5","2016-01-17 05:54","16.4","24.0","2016-01-04 14:33","4.0","2016-01-24 06:53","...","2.1","19","22.0","15","2016-01-23 07:24","163.0","...","15","...","...","...","...","38.0","2016-01-29 00:00","88","...","...","...","...","...","...","..."
"02","1019.3","...","1026.5","2016-02-25 09:33","1010.4","2016-02-13 14:06","15.9","31.1","2016-02-13 13:04","8.4","2016-02-09 05:22","...","2.1","21","17.0","37","2016-02-05 17:35","20.5","...","5","...","...","...","...","15.0","2016-02-11 00:00","83","...","...","...","...","...","...","..."
"03","1015.7","...","1023.5","2016-03-27 22:17","1008.3","2016-03-08 15:53","18.0","29.6","2016-03-18 11:51","10.0","2016-03-11 02:56","...","1.6","2","18.8","32","2016-03-10 15:47","154.0","...","16","...","...","...","...","45.5","2016-03-10 00:00","89","...","...","...","...","...","...","..."
"04","1011.0","...","1018.4","2016-04-19 09:13","1002.3","2016-04-13 13:51","25.1","34.7","2016-04-21 12:23","18.2","2016-04-19 04:32","...","1.3","3","12.8","170","2016-04-13 14:39","134.5","...","9","...","...","...","...","23.5","2016-04-14 00:00","94","...","...","...","...","...","...","..."
"05","1009.1","...","1014.2","2016-05-14 09:21","1004.1","2016-05-24 16:13","28.2","35.9","2016-05-28 11:51","18.9","2016-05-17 05:11","...","1.4","1","12.4","355","2016-05-16 12:52","70.0","...","7","...","...","...","...","29.5","2016-05-23 00:00","94","...","...","...","...","...","...","..."
"06","1007.6","...","1013.9","2016-06-29 22:01","1003.2","2016-06-13 18:40","29.9","35.6","2016-06-29 13:41","23.6","2016-06-06 11:48","...","1.6","212","14.5","202","2016-06-12 13:17","242.0","...","13","...","...","...","...","85.5","2016-06-06 00:00","95","...","...","...","...","...","...","..."
"07","1008.3","...","1051.5","2016-07-23 23:51","984.6","2016-07-08 13:11","30.8","37.6","2016-07-29 11:01","24.0","2016-07-03 18:49","...","1.8","90","13.4","7","2016-07-08 08:18","64.5","...","12","...","...","...","...","17.0","2016-07-09 00:00","94","...","...","...","...","...","...","..."
"08","1001.4","...","1008.6","2016-08-03 21:51","996.8","2016-08-01 06:31","30.6","36.4","2016-08-18 12:53","26.2","2016-08-12 19:51","...","1.3","1","11.8","4","2016-08-29 14:41","95.0","...","11","...","...","...","...","30.0","2016-08-11 00:00","95","...","...","...","...","...","...","..."
"09","1003.2","...","1012.2","2016-09-21 09:47","959.0","2016-09-27 15:34","29.0","35.2","2016-09-01 13:11","25.0","2016-09-07 19:31","...","2.1","2","36.8","10","2016-09-27 15:46","133.0","...","12","...","...","...","...","55.0","2016-09-28 00:00","96","...","...","...","...","...","...","..."
"10","1007.6","...","1017.0","2016-10-31 07:51","997.9","2016-10-20 14:16","28.7","36.3","2016-10-20 15:34","22.9","2016-10-30 06:02","...","1.6","3","13.2","29","2016-10-09 08:02","8.5","...","3","...","...","...","...","5.0","2016-10-08 00:00","81","...","...","...","...","...","...","..."
"11","1012.8","...","1018.9","2016-11-29 09:14","1007.6","2016-11-22 00:41","24.2","32.5","2016-11-19 11:41","17.1","2016-11-29 06:21","...","1.8","20","13.7","343","2016-11-27 22:06","50.0","...","6","...","...","...","...","24.5","2016-11-23 00:00","79","...","...","...","...","...","...","..."
"12","1014.9","...","1021.4","2016-12-16 10:15","1008.1","2016-12-09 15:03","21.0","29.6","2016-12-21 10:32","13.4","2016-12-28 02:01","...","2.0","7","16.7","36","2016-12-27 11:29","3.5","...","1","...","...","...","...","3.5","2016-12-28 00:00","77","...","...","...","...","...","...","..."
