"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpDay","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","Precp1DayMax","Precp1DayMaxTime","RH","EvapA","SunShine","GloblRad","UVI Max Mean","UVI Max","UVI Max Time","Cloud Amount"
"01","1015.7","...","1022.0","2014-01-11 09:19","1007.5","2014-01-03 15:08","18.7","28.9","2014-01-03 11:21","9.3","2014-01-22 05:33","...","1.3","1","8.7","301","2014-01-08 15:45","0.0","...","0","...","...","...","...","0.0","2014-01-17 00:00","66","...","...","...","...","...","...","..."
"02","1012.4","...","1022.6","2014-02-21 08:46","1003.2","2014-02-07 15:34","19.8","29.6","2014-02-03 13:31","10.0","2014-02-21 04:21","...","1.2","297","8.8","165","2014-02-06 12:04","20.5","...","6","...","...","...","...","14.0","2014-02-10 00:00","74","...","...","...","...","...","...","..."
"03","1012.8","...","1019.6","2014-03-16 09:34","1002.8","2014-03-31 16:43","22.3","31.2","2014-03-28 12:17","15.7","2014-03-11 04:48","...","1.2","5","21.4","270","2014-03-31 16:54","76.0","...","2","...","...","...","...","75.5","2014-03-31 00:00","73","...","...","...","...","...","...","..."
"04","1009.2","...","1015.4","2014-04-06 08:33","1003.7","2014-04-01 15:31","25.7","33.4","2014-04-25 13:16","19.1","2014-04-05 04:51","...","1.3","3","9.1","257","2014-04-27 12:42","13.5","...","3","...","...","...","...","8.0","2014-04-01 00:00","75","...","...","...","...","...","...","..."
"05","1006.9","...","1012.9","2014-05-06 08:50","1002.0","2014-05-27 16:13","27.6","35.1","2014-05-27 13:13","21.0","2014-05-06 21:04","...","1.4","1","15.3","261","2014-05-20 17:42","165.0","...","15","...","...","...","...","34.0","2014-05-03 00:00","78","...","...","...","...","...","...","..."
"06","1001.7","...","1007.6","2014-06-30 23:21","993.5","2014-06-10 16:36","28.9","35.6","2014-06-01 13:52","24.4","2014-06-04 11:17","...","1.6","11","11.3","268","2014-06-04 09:46","320.5","...","19","...","...","...","...","55.0","2014-06-12 00:00","81","...","...","...","...","...","...","..."
"07","1002.2","...","1008.8","2014-07-26 22:11","984.4","2014-07-22 23:12","29.9","36.8","2014-07-16 12:31","24.6","2014-07-25 07:58","...","1.6","1","15.4","179","2014-07-23 12:09","368.5","...","14","...","...","...","...","198.0","2014-07-23 00:00","78","...","...","...","...","...","...","..."
"08","1004.5","...","1011.3","2014-08-28 21:27","995.4","2014-08-01 02:02","28.7","40.3","2014-08-25 16:32","20.5","2014-08-17 18:29","...","1.5","2","12.5","174","2014-08-18 14:40","801.5","...","21","...","...","...","...","176.0","2014-08-10 00:00","82","...","...","...","...","...","...","..."
"09","1005.0","...","1010.5","2014-09-27 07:52","986.7","2014-09-21 11:35","29.2","40.3","2014-09-08 08:51","24.1","2014-09-21 03:44","...","1.5","8","14.5","309","2014-09-21 11:48","337.5","...","14","...","...","...","...","91.0","2014-09-21 00:00","80","...","...","...","...","...","...","..."
"10","1009.6","...","1015.5","2014-10-16 08:47","1000.0","2014-10-10 14:02","27.1","34.7","2014-10-11 11:51","21.3","2014-10-17 05:21","...","1.4","8","9.9","187","2014-10-29 14:17","0.0","...","0","...","...","...","...","0.0","2014-10-19 00:00","70","...","...","...","...","...","...","..."
"11","1012.1","...","1016.8","2014-11-19 08:31","1006.0","2014-11-01 14:45","25.1","33.1","2014-11-02 12:31","19.0","2014-11-20 03:31","...","1.3","1","8.0","197","2014-11-04 14:36","0.0","...","0","...","...","...","...","0.0","2014-11-25 00:00","74","...","...","...","...","...","...","..."
"12","1016.0","...","1023.0","2014-12-18 08:20","1008.1","2014-12-01 13:21","19.8","29.8","2014-12-01 12:01","12.2","2014-12-22 06:21","...","1.2","9","8.1","316","2014-12-28 16:11","13.0","...","4","...","...","...","...","6.0","2014-12-25 00:00","75","...","...","...","...","...","...","..."
