1,2,3,4,5,6,7,8,9,10,11,12,13
52640,2019/1/29 00:00,,S15,,,2019/2/12 00:00,TRUE,4,,,,A
52641,2019/4/25 00:00,,S30,,,2019/5/8 00:00,TRUE,7,,,母,A
52648,2019/9/10 00:00,,,,,2019/10/8 00:00,TRUE,6,,,母,A
52678,2019/7/30 00:00,,,,,2019/8/6 00:00,TRUE,4,,,公,A
122630,2019/5/25 00:00,,,,,2019/6/20 00:00,TRUE,5,1,,,B
122654,2019/2/2 00:00,,,,,2019/2/23 00:00,TRUE,5,1,,,B
124302,2019/8/9 00:00,,,,,2019/8/21 00:00,TRUE,6,1,,,B
127916,2019/7/30 00:00,,,,,2019/8/21 00:00,TRUE,5,1,,,B
185268,2019/7/2 00:00,,,,670,2019/7/26 00:00,TRUE,6,1,,,C
185275,2019/4/16 00:00,,,,675,2019/4/26 00:00,TRUE,6,1,,,C
185286,2019/7/2 00:00,,,,640,2019/7/26 00:00,TRUE,5,1,,,C
1051815,2019/1/13 00:00,,S7,,,2019/2/12 00:00,TRUE,4,,,母,A
1051841,2019/1/2 00:00,,S2,,,2019/1/11 00:00,TRUE,4,,,母,A
1051856,2019/9/10 00:00,,,,,2019/10/8 00:00,TRUE,4,,,公,A
1051857,2019/7/21 00:00,,S52,,,2019/8/6 00:00,TRUE,5,,,母,A
1051862,2019/9/17 00:00,,S72,,,2019/10/8 00:00,TRUE,4,,,母,A
1123336,2019/2/17 00:00,,,,,2019/2/23 00:00,TRUE,6,2,,,B
1123360,2019/5/9 00:00,,,,,2019/6/20 00:00,TRUE,4,1,,,B
1123363,2019/9/14 00:00,,,,,2019/9/19 00:00,TRUE,5,2,,,B
1123374,2019/2/5 00:00,,,,,2019/2/23 00:00,TRUE,4,1,,,B
1123407,2019/10/8 00:00,,,,,2019/10/24 00:00,TRUE,5,1,,,B
2051990,2019/6/10 00:00,,,,,2019/7/2 00:00,TRUE,4,,,公,A
2052012,2019/2/14 00:00,,S21,,,2019/3/7 00:00,TRUE,3,,,母,A
2052017,2019/6/25 00:00,,S44,,,2019/7/2 00:00,TRUE,3,,,母,A
2052021,2019/10/22 00:00,,S86,,,2019/11/5 00:00,TRUE,4,,,母,A
2052035,2019/8/11 00:00,,S58,,,2019/9/2 00:00,TRUE,4,,,母,A
2052062,2019/3/3 00:00,,S25,,,2019/4/10 00:00,TRUE,4,,,母,A
2052063,2019/8/13 00:00,,,,,2019/9/2 00:00,TRUE,4,,,,A
2052065,2019/4/10 00:00,,,,,2019/5/8 00:00,TRUE,4,,,公,A
2052066,2019/5/18 00:00,,S33,,,2019/6/5 00:00,TRUE,4,,,母,A
2052070,2019/3/18 00:00,,S26,,,2019/4/10 00:00,TRUE,4,,,母,A
2052073,2019/2/14 00:00,,S20,,,2019/3/7 00:00,TRUE,3,,,母,A
2052073,2019/8/18 00:00,,,,,2019/9/2 00:00,TRUE,4,,,,A
2052074,2019/1/17 00:00,,S9,,,2019/2/12 00:00,TRUE,4,,,,A
2121412,2019/6/10 00:00,,,,,2019/6/20 00:00,TRUE,5,1,,,B
2121418,2019/4/4 00:00,,,,,2019/6/20 00:00,TRUE,4,2,,,B
2121420,2019/9/1 00:00,,,,,2019/9/19 00:00,TRUE,5,1,,,B
2122338,2019/3/15 00:00,,,,,2019/3/20 00:00,TRUE,5,1,,,B
