1,2,3,4,5,6,7,8
11469,2000/1/17 00:00,72H896,2000/1/31 00:00,0,,,A
5022336,1999/8/5 00:00,11H3221,1999/9/1 00:00,0,,,A
5022336,1999/8/30 00:00,14H1294,1999/10/4 00:00,0,,,A
5022344,1998/11/21 00:00,72H0085,1999/9/1 00:00,0,,,A
5022344,1999/10/31 00:00,14H2394,1999/12/1 00:00,0,,,A
5022344,2000/9/21 00:00,14H2403,2000/10/3 00:00,0,,,A
5022347,1999/1/12 00:00,9H1121,1999/9/1 00:00,0,,,A
5022347,2000/1/2 00:00,9H1988,2000/1/31 00:00,0,,,A
5022349,1999/7/26 00:00,11H3221,1999/9/1 00:00,0,,,A
5022349,1999/9/16 00:00,14H1294,1999/10/4 00:00,0,,,A
5022349,1999/11/1 00:00,11H3221,1999/12/1 00:00,0,,,A
5022349,2000/2/9 00:00,14H2236,2000/3/25 00:00,0,,,A
5022352,1999/2/24 00:00,9H1579,1999/9/1 00:00,0,,,A
5022355,1998/12/5 00:00,7H4090,1999/9/1 00:00,0,,,A
5022355,1999/12/23 00:00,9H1988,2000/1/31 00:00,0,,,A
5022355,2000/3/28 00:00,9H1988,2000/4/28 00:00,0,,,A
5022355,2000/5/17 00:00,1H2993,2000/5/22 00:00,0,,,A
5022355,2000/6/18 00:00,14H2580,2000/7/6 00:00,0,,,A
5022384,1999/4/12 00:00,1H3226,1999/9/1 00:00,0,,,A
5022384,2000/5/16 00:00,9H2164,2000/5/22 00:00,0,,,A
5022387,1999/5/13 00:00,11H3221,1999/9/1 00:00,0,,,A
5022387,2000/1/16 00:00,9H1988,2000/1/31 00:00,0,,,A
5022387,2000/3/28 00:00,9H1988,2000/4/28 00:00,0,,,A
5022387,2000/7/10 00:00,14H1403,1988/7/29 00:00,0,,,A
5022387,2000/8/24 00:00,14H2403,2000/8/28 00:00,0,,,A
5022387,2000/10/4 00:00,14H2403,2000/10/27 00:00,0,,,A
5022387,2002/9/13 00:00,29H6658,2002/9/26 00:00,0,,,A
5022387,2003/5/25 00:00,1H5021,2003/6/9 00:00,0,,,A
5022387,2003/8/13 00:00,21H1936,2003/8/20 00:00,0,,,A
5022387,2003/9/14 00:00,151H272,2003/9/17 00:00,0,,,A
5022387,2004/1/25 00:00,1H1028,2004/2/12 00:00,0,,,A
5022387,2004/2/28 00:00,1H3895,2004/3/9 00:00,0,,,A
5022387,2004/3/30 00:00,1H3895,2004/4/8 00:00,0,,,A
5022389,1999/5/15 00:00,7H4097,1999/9/1 00:00,0,,,A
5022389,2000/5/17 00:00,1H2993,2000/5/22 00:00,0,,,A
5022400,1999/7/26 00:00,7H4090,1999/9/1 00:00,0,,,A
5022400,2000/6/12 00:00,1H2194,2000/7/6 00:00,0,,,A
5022400,2000/9/22 00:00,7H5187,2000/10/3 00:00,0,,,A
5022335,1999/8/5 00:00,7H3024,1999/9/1 00:00,0,,,A
5022335,1999/8/28 00:00,71H1419,1999/10/4 00:00,0,,,A
5022335,1999/11/6 00:00,14H2394,1999/12/1 00:00,0,,,A
5022337,1999/4/6 00:00,1H4332,1999/9/1 00:00,0,,,A
5022346,1999/2/24 00:00,1H4332,1999/9/1 00:00,0,,,A
5022346,1999/12/24 00:00,9H1988,2000/1/31 00:00,0,,,A
5022346,2000/1/19 00:00,9H1988,2000/3/25 00:00,0,,,A
5022346,2000/4/27 00:00,1H2993,2000/5/22 00:00,0,,,A
5022346,2000/5/27 00:00,1H2299,2000/7/6 00:00,0,,,A
5022353,1999/5/16 00:00,9H1579,1999/9/1 00:00,0,,,A
5022357,1998/11/28 00:00,72H0076,1999/9/1 00:00,0,,,A
5022357,2000/5/16 00:00,9H2164,2000/5/22 00:00,0,,,A
5022357,2000/9/21 00:00,7H5187,2000/10/3 00:00,0,,,A
5022368,1999/5/13 00:00,7H4907,1999/9/1 00:00,0,,,A
5022368,2000/7/27 00:00,14H2403,2000/8/28 00:00,0,,,A
5022368,2000/11/3 00:00,73H1918,2000/11/18 00:00,0,,,A
5022368,2003/5/17 00:00,1H3390,2003/6/9 00:00,0,,,A
5022368,2003/8/9 00:00,29H8933,2003/8/20 00:00,0,,,A
5022371,1999/12/20 00:00,11H3221,2000/1/31 00:00,0,,,A
5022386,1999/4/10 00:00,1H4332,1999/9/1 00:00,0,,,A
5022386,2000/5/17 00:00,1H2993,2000/5/22 00:00,0,,,A
5022386,2000/6/25 00:00,1H2194,1988/7/29 00:00,0,,,A
5022386,2000/9/15 00:00,7H5187,2000/10/3 00:00,0,,,A
5022392,1999/9/13 00:00,71H1419,1999/10/4 00:00,0,,,A
5022392,1999/11/15 00:00,72H896,1999/12/1 00:00,0,,,A
5022404,1999/5/15 00:00,1H1384,1999/9/1 00:00,0,,,A
5022404,2000/7/14 00:00,14H1403,1988/7/29 00:00,0,,,A
5022408,1999/8/6 00:00,7H4324,1999/9/1 00:00,0,,,A
5022408,1999/9/6 00:00,1H4332,1999/10/4 00:00,0,,,A
5022408,2000/11/13 00:00,73H1918,2000/11/18 00:00,0,,,A
5022409,1999/7/8 00:00,1H1384,1999/9/1 00:00,0,,,A
5022409,1999/9/2 00:00,71H1419,1999/10/4 00:00,0,,,A
5022409,1999/10/13 00:00,71H1419,1999/10/27 00:00,0,,,A
5022409,1999/11/19 00:00,72H896,1999/12/1 00:00,0,,,A
5022409,2000/6/12 00:00,1H2993,2000/7/6 00:00,0,,,A
5022409,2000/7/1 00:00,14H2397,1988/7/29 00:00,0,,,A
11938,2000/6/13 00:00,14H2580,2000/7/6 00:00,0,,,A
11938,2000/7/2 00:00,14H2397,1988/7/29 00:00,0,,,A
11938,2002/8/12 00:00,29H8886,2002/11/18 00:00,0,,,A
11938,2003/6/27 00:00,29H8933,2003/8/20 00:00,0,,,A
11930,2000/5/12 00:00,9H2164,2000/5/22 00:00,0,,,A
11930,2000/5/26 00:00,1H2993,2000/7/6 00:00,0,,,A
11930,2000/7/4 00:00,14H2403,1988/7/29 00:00,0,,,A
11930,2000/9/21 00:00,14H2403,2000/10/27 00:00,0,,,A
11934,2000/1/1 00:00,9H1988,2000/1/31 00:00,0,,,A
11934,2000/2/9 00:00,14H2236,2000/3/25 00:00,0,,,A
51363,2005/10/1 00:00,200H3201,2005/11/9 00:00,0,,,A
51369,2005/8/8 00:00,7H5422,2005/8/29 00:00,0,,,A
51369,2005/10/26 00:00,11H5055,2005/12/29 00:00,0,,,A
51369,2006/4/7 00:00,JP3H51821,2006/4/29 00:00,0,,,A
51369,2006/4/9 00:00,JP3H52371,2006/11/20 00:00,0,,,A
