1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
37518,2019,8,A,52631,501H9952,97040152,2011/3/17 00:00,4,642,,2017/11/1 00:00,2019/8/5 00:00,101,2019/8/6 00:00,2019/2/3 00:00,551HO00657,7,2016/8/4 00:00,2018/1/6 00:00,614HO07276
37519,2019,10,A,52631,501H9952,97040152,2011/3/17 00:00,4,705,,2017/11/1 00:00,2019/10/7 00:00,103,2019/10/8 00:00,2019/2/3 00:00,551HO00657,7,2016/8/4 00:00,2018/1/6 00:00,614HO07276
37520,2019,7,A,52641,614H5010,97040119,2011/4/2 00:00,7,67,,2019/4/25 00:00,2019/7/1 00:00,99,2019/7/2 00:00,,,0,2018/5/8 00:00,,
37521,2019,8,A,52641,614H5010,97040119,2011/4/2 00:00,7,102,,2019/4/25 00:00,2019/8/5 00:00,100,2019/8/6 00:00,,,0,2018/5/8 00:00,,
37522,2019,9,A,52641,614H5010,97040119,2011/4/2 00:00,7,129,,2019/4/25 00:00,2019/9/1 00:00,101,2019/9/4 00:00,,,0,2018/5/8 00:00,,
37523,2019,11,A,52631,501H9952,97040152,2011/3/17 00:00,4,733,,2017/11/1 00:00,2019/11/4 00:00,104,2019/11/6 00:00,2019/2/3 00:00,551HO00657,7,2016/8/4 00:00,2018/1/6 00:00,614HO07276
37524,2019,8,A,52678,11H8035,94040423,2011/12/5 00:00,4,6,,2019/7/30 00:00,2019/8/5 00:00,92,2019/8/6 00:00,,,0,2017/9/19 00:00,,
37525,2019,9,A,52678,11H8035,94040423,2011/12/5 00:00,4,33,,2019/7/30 00:00,2019/9/1 00:00,93,2019/9/4 00:00,,,0,2017/9/19 00:00,,
37526,2019,10,A,52641,614H5010,97040119,2011/4/2 00:00,7,165,,2019/4/25 00:00,2019/10/7 00:00,102,2019/10/8 00:00,,,0,2018/5/8 00:00,,
37527,2019,10,A,52648,7H7735,97040166,2011/6/13 00:00,6,27,,2019/9/10 00:00,2019/10/7 00:00,100,2019/10/8 00:00,,,0,2018/8/26 00:00,,
